No,DateTime,Device Name,Location,Energy Consumption (kWh)
430,"05, 15/12/25",GG_L1_DWS-SDP STK,DWS-Gudang,28922.7
432,"05, 15/12/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,362511.12
435,"05, 15/12/25",GG_L1_DWS-SDP LP,DWS-Gudang,20042.3
439,"05, 15/12/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,44399.76
440,"05, 15/12/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,
442,"05, 15/12/25",GG_L2_R Panel-SDP PP,R Panel,133568.84
444,"05, 15/12/25",GG_L2_R Panel-SDP DB UPS,R Panel,
445,"05, 15/12/25",GG_L2_R Panel-SDP DB LED,R Panel,
446,"05, 15/12/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,61984.15
449,"05, 15/12/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,88235.34
463,"06, 15/12/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,19223.86
464,"06, 15/12/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,38352.74
466,"06, 15/12/25",GG_L5_WB_AHU,WB-AHU,20417.91
467,"06, 15/12/25",GG_L4_WT_AHU,WT-AHU,24875.77
468,"06, 15/12/25",GG_L3_WT_AHU,WT-AHU,22795.76
469,"06, 15/12/25",GG_L3_WB_AHU,WB-AHU,22449.74
470,"06, 15/12/25",GG_L4_WB_AHU,WB-AHU,32065.02
474,"06, 15/12/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,
476,"06, 15/12/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,61995.65
478,"06, 15/12/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,
481,"06, 15/12/25",GG_L6_WB_AHU,WB-AHU,21735.92
488,"06, 15/12/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,36122.36
489,"06, 15/12/25",GG_L1_DWS-SDP STK,DWS-Gudang,28924.51
491,"06, 15/12/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,362542.19
494,"06, 15/12/25",GG_L1_DWS-SDP LP,DWS-Gudang,20044.71
499,"06, 15/12/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,44405.58
500,"06, 15/12/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,39609.66
502,"06, 15/12/25",GG_L2_R Panel-SDP PP,R Panel,133582.53
504,"06, 15/12/25",GG_L2_R Panel-SDP DB UPS,R Panel,312379.97
505,"06, 15/12/25",GG_L2_R Panel-SDP DB LED,R Panel,138729.27
506,"06, 15/12/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,61990.53
509,"06, 15/12/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,88241.86
523,"07, 15/12/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,19227.72
524,"07, 15/12/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,38358.99
526,"07, 15/12/25",GG_L5_WB_AHU,WB-AHU,20423.57
527,"07, 15/12/25",GG_L4_WT_AHU,WT-AHU,24882.68
528,"07, 15/12/25",GG_L3_WT_AHU,WT-AHU,22802.54
529,"07, 15/12/25",GG_L3_WB_AHU,WB-AHU,22456
530,"07, 15/12/25",GG_L4_WB_AHU,WB-AHU,32070.87
535,"07, 15/12/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,224225.77
537,"07, 15/12/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,62000.94
539,"07, 15/12/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,168895.66
542,"07, 15/12/25",GG_L6_WB_AHU,WB-AHU,21739.55
549,"07, 15/12/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,36127.52
550,"07, 15/12/25",GG_L1_DWS-SDP STK,DWS-Gudang,28928.55
552,"07, 15/12/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,362569.22
555,"07, 15/12/25",GG_L1_DWS-SDP LP,DWS-Gudang,20047.38
559,"07, 15/12/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,44407.56
560,"07, 15/12/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,39614.27
562,"07, 15/12/25",GG_L2_R Panel-SDP PP,R Panel,133593.59
564,"07, 15/12/25",GG_L2_R Panel-SDP DB UPS,R Panel,
565,"07, 15/12/25",GG_L2_R Panel-SDP DB LED,R Panel,138742.3
566,"07, 15/12/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,
569,"07, 15/12/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,88257.58
582,"08, 15/12/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,19232.19
583,"08, 15/12/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,38366.98
585,"08, 15/12/25",GG_L5_WB_AHU,WB-AHU,20428.91
586,"08, 15/12/25",GG_L4_WT_AHU,WT-AHU,24889.71
587,"08, 15/12/25",GG_L3_WT_AHU,WT-AHU,22810.3
588,"08, 15/12/25",GG_L3_WB_AHU,WB-AHU,22460.46
589,"08, 15/12/25",GG_L4_WB_AHU,WB-AHU,32077.32
594,"08, 15/12/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,
597,"08, 15/12/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,
599,"08, 15/12/25",GG_L6_WB_AHU,WB-AHU,21746.2
606,"08, 15/12/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,36130.63
607,"08, 15/12/25",GG_L1_DWS-SDP STK,DWS-Gudang,28933.23
609,"08, 15/12/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,362598.39
612,"08, 15/12/25",GG_L1_DWS-SDP LP,DWS-Gudang,20050.17
616,"08, 15/12/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,44411.36
617,"08, 15/12/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,39620
619,"08, 15/12/25",GG_L2_R Panel-SDP PP,R Panel,133610.01
620,"08, 15/12/25",GG_L2_R Panel-SDP DB UPS,R Panel,
621,"08, 15/12/25",GG_L2_R Panel-SDP DB LED,R Panel,138753.3
622,"08, 15/12/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,
625,"08, 15/12/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,88263.08
638,"09, 15/12/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,19236.24
639,"09, 15/12/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,
641,"09, 15/12/25",GG_L5_WB_AHU,WB-AHU,20433.78
642,"09, 15/12/25",GG_L4_WT_AHU,WT-AHU,24896.7
643,"09, 15/12/25",GG_L3_WT_AHU,WT-AHU,22814.02
644,"09, 15/12/25",GG_L3_WB_AHU,WB-AHU,22468.57
645,"09, 15/12/25",GG_L4_WB_AHU,WB-AHU,32088.86
650,"09, 15/12/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,
652,"09, 15/12/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,62015.44
654,"09, 15/12/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,
657,"09, 15/12/25",GG_L6_WB_AHU,WB-AHU,21753.29
664,"09, 15/12/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,36135.52
665,"09, 15/12/25",GG_L1_DWS-SDP STK,DWS-Gudang,28938.47
667,"09, 15/12/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,362641.95
670,"09, 15/12/25",GG_L1_DWS-SDP LP,DWS-Gudang,20053.75
674,"09, 15/12/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,44413.8
675,"09, 15/12/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,39629.42
677,"09, 15/12/25",GG_L2_R Panel-SDP PP,R Panel,133631.55
679,"09, 15/12/25",GG_L2_R Panel-SDP DB UPS,R Panel,
680,"09, 15/12/25",GG_L2_R Panel-SDP DB LED,R Panel,138765.69
681,"09, 15/12/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,62027.78
684,"09, 15/12/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,88286.34
697,"10, 15/12/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,19241.48
698,"10, 15/12/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,
