No,DateTime,Device Name,Location,Energy Consumption (kWh)
662,11/11/25,GG_L2_R Panel-SDP DB LED,R Panel,2178454.24
648,11/11/25,GG_L2_R Panel-SDP DB UPS,R Panel,3993976.86
682,11/11/25,GG_L2_R Panel-SDP PP,R Panel,1957270.81
642,11/11/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,704555.66
653,11/11/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1358090.18
665,11/11/25,GG_L3_WB_AHU,WB-AHU,350723.67
651,11/11/25,GG_L3_WT_AHU,WT-AHU,359276.75
678,11/11/25,GG_L4_WB_AHU,WB-AHU,509440.73
638,11/11/25,GG_L4_WT_AHU,WT-AHU,393639.04
686,11/11/25,GG_L5_WB_AHU,WB-AHU,321980.05
636,11/11/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,923473.47
674,11/11/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,569598.11
641,11/11/25,GG_L6_WB_AHU,WB-AHU,342544.61
700,12/11/25,GG_L1_DWS-SDP LP,DWS-Gudang,446493.2
695,12/11/25,GG_L1_DWS-SDP STK,DWS-Gudang,644824.95
724,12/11/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1393962.81
706,12/11/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,878083.97
727,12/11/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,852699.53
743,12/11/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,181624.1
714,12/11/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,413469.11
720,12/11/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,7970796.86
751,12/11/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1540378.41
750,12/11/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,2298281.44
711,12/11/25,GG_L2_R Panel-SDP DB LED,R Panel,3084386.27
698,12/11/25,GG_L2_R Panel-SDP DB UPS,R Panel,6009471.88
731,12/11/25,GG_L2_R Panel-SDP PP,R Panel,2944645.07
693,12/11/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,996885.31
704,12/11/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1926082.73
732,12/11/25,GG_L3_WB_AHU,WB-AHU,497287.89
719,12/11/25,GG_L3_WT_AHU,WT-AHU,509193.62
745,12/11/25,GG_L4_WB_AHU,WB-AHU,721838.47
707,12/11/25,GG_L4_WT_AHU,WT-AHU,557776.14
694,12/11/25,GG_L5_WB_AHU,WB-AHU,456320.11
705,12/11/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1389080.41
741,12/11/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,806790.1
710,12/11/25,GG_L6_WB_AHU,WB-AHU,485522.74
778,13/11/25,GG_L1_DWS-SDP LP,DWS-Gudang,447882.61
771,13/11/25,GG_L1_DWS-SDP STK,DWS-Gudang,646951.37
802,13/11/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1282060.38
784,13/11/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,880708.02
777,13/11/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,855446.47
760,13/11/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,18191.9
763,13/11/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,432782.14
798,13/11/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,7991691.48
795,13/11/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,617253.55
803,13/11/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1464842.69
789,13/11/25,GG_L2_R Panel-SDP DB LED,R Panel,2963684.06
775,13/11/25,GG_L2_R Panel-SDP DB UPS,R Panel,6026456.55
810,13/11/25,GG_L2_R Panel-SDP PP,R Panel,2952726.8
770,13/11/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,998937.64
781,13/11/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1934323.01
783,13/11/25,GG_L3_WB_AHU,WB-AHU,499161.45
769,13/11/25,GG_L3_WT_AHU,WT-AHU,510875.94
796,13/11/25,GG_L4_WB_AHU,WB-AHU,723992.83
756,13/11/25,GG_L4_WT_AHU,WT-AHU,559503.65
804,13/11/25,GG_L5_WB_AHU,WB-AHU,457819.23
768,13/11/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1392769.16
758,13/11/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,809187.81
788,13/11/25,GG_L6_WB_AHU,WB-AHU,487145
873,14/11/25,GG_L1_DWS-SDP LP,DWS-Gudang,449109.92
868,14/11/25,GG_L1_DWS-SDP STK,DWS-Gudang,648818.07
838,14/11/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1402877.76
819,14/11/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,846356.01
828,14/11/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,858065.83
879,14/11/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,91832.38
874,14/11/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,434081.73
834,14/11/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,8008913.94
844,14/11/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1703302.05
852,14/11/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1677589.48
825,14/11/25,GG_L2_R Panel-SDP DB LED,R Panel,3100746.04
871,14/11/25,GG_L2_R Panel-SDP DB UPS,R Panel,6906271.5
845,14/11/25,GG_L2_R Panel-SDP PP,R Panel,2960723.07
866,14/11/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,1001008.22
817,14/11/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1941578.43
833,14/11/25,GG_L3_WB_AHU,WB-AHU,500896.9
820,14/11/25,GG_L3_WT_AHU,WT-AHU,512566.31
846,14/11/25,GG_L4_WB_AHU,WB-AHU,726024.39
867,14/11/25,GG_L4_WT_AHU,WT-AHU,561250.47
854,14/11/25,GG_L5_WB_AHU,WB-AHU,459213.83
818,14/11/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1338531.87
855,14/11/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,811699.77
823,14/11/25,GG_L6_WB_AHU,WB-AHU,488689.02
938,15/11/25,GG_L1_DWS-SDP LP,DWS-Gudang,449975.03
931,15/11/25,GG_L1_DWS-SDP STK,DWS-Gudang,649951.25
901,15/11/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1404964.83
882,15/11/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,848129.62
937,15/11/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,859284
920,15/11/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,91865.2
923,15/11/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,434688.47
898,15/11/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,8025642.83
