No,DateTime,Device Name,Location,Energy Consumption (kWh)
316,19/12/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,840099.39
344,19/12/25,GG_L6_WB_AHU,WB-AHU,484733.66
370,20/12/25,GG_L1_DWS-SDP LP,DWS-Gudang,488215.49
422,20/12/25,GG_L1_DWS-SDP STK,DWS-Gudang,704120.47
380,20/12/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1258156.54
375,20/12/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,802301.12
396,20/12/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,740055.34
425,20/12/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,
383,20/12/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,448339.45
389,20/12/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,8801899.05
398,20/12/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1536703.45
406,20/12/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1361288.86
368,20/12/25,GG_L2_R Panel-SDP DB LED,R Panel,2945599.14
413,20/12/25,GG_L2_R Panel-SDP DB UPS,R Panel,4747315.84
400,20/12/25,GG_L2_R Panel-SDP PP,R Panel,2300040.9
420,20/12/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,717926.17
419,20/12/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1346271.44
401,20/12/25,GG_L3_WB_AHU,WB-AHU,433474.76
388,20/12/25,GG_L3_WT_AHU,WT-AHU,532269.68
414,20/12/25,GG_L4_WB_AHU,WB-AHU,650233.98
376,20/12/25,GG_L4_WT_AHU,WT-AHU,580606.03
421,20/12/25,GG_L5_WB_AHU,WB-AHU,414548.4
373,20/12/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,1380378.52
410,20/12/25,GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,805030.93
378,20/12/25,GG_L6_WB_AHU,WB-AHU,507560.77
478,21/12/25,GG_L1_DWS-SDP LP,DWS-Gudang,488690.13
460,21/12/25,GG_L1_DWS-SDP STK,DWS-Gudang,704728.06
456,21/12/25,GG_L1_PED-SDP LP,BPP-SDP.AHU,1447208.3
437,21/12/25,GG_L1_PED-SDP STK,BPP-SDP.AHU,763102.44
433,21/12/25,GG_L1_WB-DWS_AHU,WB DWS-AHU,584254.22
491,21/12/25,GG_L1_WT-B2B_AHU,WT B2B-AHU,
479,21/12/25,GG_L1_WT-BPP_AHU,WT BPP-AHU,467832.47
487,21/12/25,GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,8462753.42
436,21/12/25,GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,1368234.33
490,21/12/25,GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,1139099.14
443,21/12/25,GG_L2_R Panel-SDP DB LED,R Panel,2670075.12
430,21/12/25,GG_L2_R Panel-SDP DB UPS,R Panel,4762458.58
463,21/12/25,GG_L2_R Panel-SDP PP,R Panel,1763087.41
484,21/12/25,GG_L3_DSO-SDP Server,DSO-R Monitoring,809004.29
435,21/12/25,GG_L3_DSO-SDP-LP-STK,DSO-R Panel,1976551.39
438,21/12/25,GG_L3_WB_AHU,WB-AHU,501918.14
485,21/12/25,GG_L3_WT_AHU,WT-AHU,532269.68
451,21/12/25,GG_L4_WB_AHU,WB-AHU,650233.98
472,21/12/25,GG_L4_WT_AHU,WT-AHU,580606.03
459,21/12/25,GG_L5_WB_AHU,WB-AHU,476730.66
470,21/12/25,GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,879688.48
