No,Date Time,Device Name,Location,Energy Consumption (kWh)
223,"09, 01/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56603.61
224,"09, 01/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77673.1
225,"10, 01/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17555.72
226,"10, 01/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34694.82
227,"10, 01/11/25",GG_L5_WB_AHU,WB-AHU,18505.68
228,"10, 01/11/25",GG_L4_WT_AHU,WT-AHU,22679.92
229,"10, 01/11/25",GG_L3_WT_AHU,WT-AHU,20676.44
230,"10, 01/11/25",GG_L3_WB_AHU,WB-AHU,20142.26
231,"10, 01/11/25",GG_L4_WB_AHU,WB-AHU,29198.16
232,"10, 01/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56455.45
233,"10, 01/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,
234,"10, 01/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17744.58
235,"10, 01/11/25",GG_L6_WB_AHU,WB-AHU,19721.64
236,"10, 01/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32771.49
237,"10, 01/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26173.66
238,"10, 01/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,323206.89
239,"10, 01/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18130.51
240,"10, 01/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40588.84
241,"10, 01/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,
242,"10, 01/11/25",GG_L2_R Panel-SDP PP,R Panel,118864.67
243,"10, 01/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,277337.8
244,"10, 01/11/25",GG_L2_R Panel-SDP DB LED,R Panel,124870.36
245,"10, 01/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56604.88
246,"10, 01/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77676.83
247,"11, 01/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17555.72
248,"11, 01/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34694.82
249,"11, 01/11/25",GG_L5_WB_AHU,WB-AHU,18505.68
250,"11, 01/11/25",GG_L4_WT_AHU,WT-AHU,22679.92
251,"11, 01/11/25",GG_L3_WT_AHU,WT-AHU,20676.44
252,"11, 01/11/25",GG_L3_WB_AHU,WB-AHU,20142.3
253,"11, 01/11/25",GG_L4_WB_AHU,WB-AHU,29198.16
254,"11, 01/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56457.36
255,"11, 01/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17744.58
256,"11, 01/11/25",GG_L6_WB_AHU,WB-AHU,19721.64
257,"11, 01/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32772.8
258,"11, 01/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26174.6
259,"11, 01/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,323238.59
260,"11, 01/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18131.41
261,"11, 01/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40590.06
262,"11, 01/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35567.19
263,"11, 01/11/25",GG_L2_R Panel-SDP PP,R Panel,118885.11
264,"11, 01/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,277372.75
265,"11, 01/11/25",GG_L2_R Panel-SDP DB LED,R Panel,124884.1
266,"11, 01/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,
267,"11, 01/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77682.42
268,"12, 01/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17555.98
269,"12, 01/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34694.82
270,"12, 01/11/25",GG_L5_WB_AHU,WB-AHU,18505.68
271,"12, 01/11/25",GG_L4_WT_AHU,WT-AHU,22679.92
272,"12, 01/11/25",GG_L3_WT_AHU,WT-AHU,20676.44
273,"12, 01/11/25",GG_L3_WB_AHU,WB-AHU,20142.35
274,"12, 01/11/25",GG_L4_WB_AHU,WB-AHU,29198.16
275,"12, 01/11/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,202911.3
276,"12, 01/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56463.28
277,"12, 01/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,149691.56
278,"12, 01/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,17744.58
279,"12, 01/11/25",GG_L6_WB_AHU,WB-AHU,19721.64
280,"12, 01/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32774.19
281,"12, 01/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26175.49
282,"12, 01/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,323275.33
283,"12, 01/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18132.33
284,"12, 01/11/25",GG_L3_DSO-SDP Server,DSO-R Monitoring,40595.01
285,"12, 01/11/25",GG_L1_PED-SDP STK,BPP-SDP.AHU,35569.39
286,"12, 01/11/25",GG_L2_R Panel-SDP PP,R Panel,118904.34
287,"12, 01/11/25",GG_L2_R Panel-SDP DB UPS,R Panel,
288,"12, 01/11/25",GG_L2_R Panel-SDP DB LED,R Panel,124898.84
289,"12, 01/11/25",GG_L1_PED-SDP LP,BPP-SDP.AHU,56607.18
290,"12, 01/11/25",GG_L3_DSO-SDP-LP-STK,DSO-R Panel,77686.71
291,"13, 01/11/25",GG_L1_WT-BPP_AHU,WT BPP-AHU,17555.98
292,"13, 01/11/25",GG_L1_WB-DWS_AHU,WB DWS-AHU,34694.82
293,"13, 01/11/25",GG_L5_WB_AHU,WB-AHU,18505.68
294,"13, 01/11/25",GG_L4_WT_AHU,WT-AHU,22679.92
295,"13, 01/11/25",GG_L3_WT_AHU,WT-AHU,20676.44
296,"13, 01/11/25",GG_L3_WB_AHU,WB-AHU,20142.4
297,"13, 01/11/25",GG_L4_WB_AHU,WB-AHU,29198.16
298,"13, 01/11/25",GG_L2_P2DNS T-SDP 2,TIOC-SDP.AHU,203017.23
299,"13, 01/11/25",GG_L6_INFRACO-SDP LP-STK 1,Infraco-SDP-AHU,56465.77
300,"13, 01/11/25",GG_L2_P2DNS T-SDP 1,TIOC-SDP.AHU,
301,"13, 01/11/25",GG_L1_WT-B2B_AHU,WT B2B-AHU,
302,"13, 01/11/25",GG_L6_WB_AHU,WB-AHU,19721.64
303,"13, 01/11/25",GG_L6_INFRACO-SDP-LP-STK2,Infraco-SDP-AHU,32775.19
304,"13, 01/11/25",GG_L1_DWS-SDP STK,DWS-Gudang,26176.43
305,"13, 01/11/25",GG_L2_P2DNS B-SDP AC,TIOC-R Istirahat,323312.59
306,"13, 01/11/25",GG_L1_DWS-SDP LP,DWS-Gudang,18133.11
